case,method,metric,mean,std,min,max
case_study_3,agentic,oscillation_proxy,0.08102831444092493,0.006723848068379875,0.07180684259139682,0.09312670435851757
case_study_3,openloop,mean_tracking_error,47.98710117223696,18.900242166166723,21.537482161871356,81.72057932922765
case_study_3,openloop,max_tracking_error,278.01296088894253,200.25080858830646,74.87238199559759,620.3464902499321
case_study_3,openloop,rmse_tracking_error,58.22132560842724,26.705431166315794,23.500522728305224,108.45802788845764
case_study_3,openloop,steady_state_error,94.28174083663126,50.95397426767223,28.42970338504014,187.86217550422876
case_study_3,openloop,steady_state_max_error,121.56438401134628,70.01906004776953,39.90309431709842,260.5948277476977
case_study_3,openloop,settling_time_s,0.0,0.0,0.0,0.0
case_study_3,openloop,peak_error,121.56438401134628,70.01906004776953,39.90309431709842,260.5948277476977
case_study_3,openloop,error_variance,1407.3256865431767,1560.8662014030153,88.41143063066355,5084.890727548866
case_study_3,openloop,formation_error,29.457263853063967,17.679858015151407,11.96257854082055,63.597605610530465
case_study_3,openloop,connectivity_rate,0.29637152777777775,0.09008829273038543,0.13229166666666667,0.44418402777777777
case_study_3,openloop,throughput_ratio,0.15814075029282576,0.06389359031543694,0.03294975986909389,0.27099223687605356
case_study_3,openloop,control_overhead,0.1436458333333333,0.05204024709602656,0.06018518518518517,0.2440972222222222
case_study_3,openloop,task_completion_proxy,0.0025434027777777777,0.004434934260497345,0.0,0.014496527777777778
case_study_3,openloop,system_utility,-75.96250738641203,35.26474963645596,-144.25004257864697,-31.27914056380302
case_study_3,openloop,sat_frac_mean,,,,
case_study_3,openloop,sat_frac_max,,,,
case_study_3,openloop,oscillation_proxy,0.09828171929441565,0.02775900294603718,0.07197448454986895,0.162464634941097
case_study_3,pid,mean_tracking_error,42.53427233867956,14.825057455179287,25.035066609161465,66.21049767989247
case_study_3,pid,max_tracking_error,176.8892228785047,105.67680524322009,65.5553383139837,381.50677248762145
case_study_3,pid,rmse_tracking_error,49.78590426794631,20.321396708133506,28.36205405061335,84.03925956954669
case_study_3,pid,steady_state_error,78.15336938607535,40.128823096226476,35.89623099210875,146.37114950447088
case_study_3,pid,steady_state_max_error,100.2607256027425,51.3905522429677,51.52411815835344,189.32479607111935
case_study_3,pid,settling_time_s,0.0,0.0,0.0,0.0
case_study_3,pid,peak_error,100.2607256027425,51.3905522429677,51.52411815835344,189.32479607111935
case_study_3,pid,error_variance,843.3310924541296,946.0452337665371,92.14400777573557,2865.777766453283
case_study_3,pid,formation_error,20.641875482068613,7.927445716713963,11.434050513155507,32.91098866935225
case_study_3,pid,connectivity_rate,0.34930555555555565,0.08573722415307197,0.26536458333333335,0.5328125
case_study_3,pid,throughput_ratio,0.2020675083057665,0.10557813219473788,0.0585462064665448,0.37296189299059684
case_study_3,pid,control_overhead,0.1639293981481481,0.04390713517052653,0.12285879629629627,0.2674768518518518
case_study_3,pid,task_completion_proxy,0.002248263888888889,0.003524027595771091,0.0,0.012065972222222223
case_study_3,pid,system_utility,-61.429620042970384,21.688340899177582,-95.77508677979664,-34.7633879556503
case_study_3,pid,sat_frac_mean,0.3681694256610676,0.009664235406526557,0.3577940218572711,0.38993248803929076
case_study_3,pid,sat_frac_max,1.0,0.0,1.0,1.0
case_study_3,pid,oscillation_proxy,0.08016313216105711,0.010503704345636423,0.061978033422310674,0.09269971330308144
