case_study,controller,seed,mean_tracking_error_m,max_tracking_error_m,rmse_m,formation_error_rel,connectivity_rate,throughput_ratio,control_overhead,control_effort,control_smoothness,task_completion_proxy,system_utility,alive_ratio,steady_state_error_m,error_variance,pre_fault_error_m,fault_window_error_m,post_fault_error_m,peak_fault_error_m,connectivity_pre,connectivity_fault,connectivity_post,control_effort_pre,control_effort_fault,control_effort_post,control_smoothness_pre,control_smoothness_fault,control_smoothness_post,post_vs_pre_error_degradation_pct,connectivity_retention_pct,recovery_time_s
case_study_3,openloop,5,52.21885625787741,381.11199512864135,65.6232041298536,31.168870330974023,0.2721354166666667,0.14305882063736164,0.1591435185185185,1043348546.284468,11210.090598900366,0.0,-82.02704950551811,1.0,113.67894762907196,1579.595971387572,37.22816128698737,27.80149323211719,50.21340017065693,59.00640500140392,0.375,0.04791666666666667,0.18125,1016247340.112621,950733348.0673988,1030396706.618034,9329.71970189386,8907.327050746602,9818.220729368697,34.88015103289129,48.333333333333336,
case_study_3,openloop,6,54.42650951264723,242.7983735861497,63.82284207955042,21.172463505308926,0.2785590277777778,0.15379415503735963,0.13206018518518517,1085528120.285603,11923.92547262218,0.00043402777777777775,-74.20617787906725,1.0,101.10029637427999,1111.110233380953,50.46711671958913,52.19935110886693,69.81771218971635,70.69522451403483,0.8083333333333333,0.390625,0.03958333333333333,1070934315.7531695,1132110774.0538223,1087856780.832252,11555.549486888814,12937.605608820015,12901.638126474223,38.3429780180332,4.896907216494846,
case_study_3,openloop,7,81.72057932922765,618.7030504211957,108.45802788845764,63.597605610530465,0.21362847222222223,0.15390546551793652,0.09288194444444442,1068993219.4357938,10746.600578097903,0.004774305555555556,-144.25004257864697,1.0,187.86217550422876,5084.890727548866,44.756542642067494,46.52566856058186,109.5377682100698,91.21341046198782,0.3875,0.15416666666666667,0.0,1046297690.0586487,1048202329.2184576,1135071813.4866915,12101.188137644192,11040.191004627,10802.66962538145,144.74135342865657,0.0,
case_study_3,openloop,8,27.470624842007076,162.92071480803548,32.07320938848724,19.223225950554475,0.41085069444444444,0.27099223687605356,0.20283564814814814,1068809537.8512248,11738.44953077699,0.0,-44.639597320339334,1.0,53.81988346210081,274.05553126744996,20.383801745495646,17.059791719445954,26.605903078109943,35.141525492017124,0.19375,0.0,0.38645833333333335,1098338416.0768704,1097091494.193832,1065702244.4574052,11169.25228895681,12171.517844242486,11405.838651749458,30.52473434691465,199.46236559139786,
case_study_3,openloop,9,21.537482161871356,74.87238199559759,23.500522728305224,11.96257854082055,0.44418402777777777,0.23417114311851023,0.2440972222222222,1041432318.2779012,10885.68496469114,0.014496527777777778,-31.27914056380302,1.0,28.42970338504014,88.41143063066355,25.92605122339941,20.68824837602555,30.196177414326023,43.53940880073292,0.6,0.24791666666666667,0.041666666666666664,1038429244.6851394,1099989412.0264666,1098739037.942943,10097.11349874168,13213.2216291502,10293.023965923423,16.4704071365586,6.944444444444445,
case_study_3,openloop,10,52.018488102576725,228.38020260651825,60.76143519095629,24.789713593095257,0.27925347222222224,0.1570621427273435,0.12621527777777775,1070404456.07832,11007.1189424688,0.0014756944444444444,-75.41193433456087,1.0,96.59518167970948,986.0289019868644,50.409906120735066,47.84504486379028,64.19787677734304,71.45592593512963,0.5208333333333334,0.20416666666666666,0.15104166666666666,1081662937.7955651,1062377016.8982468,1102980869.828998,10923.767460853687,11117.558125382418,10168.325262135086,27.35170865739141,28.999999999999996,
case_study_3,pid,1,42.49601479630328,280.41892419473095,51.058236844239296,32.91098866935225,0.40008680555555554,0.31771239118733996,0.16568287037037033,903696157.6748179,11003.86854136634,0.012065972222222223,-73.40656943787775,1.0,86.5059212213499,801.0322760748079,37.158036870597606,37.044124754519856,42.89287167982461,71.92030958994302,0.7104166666666667,0.6854166666666667,0.084375,883786861.0135263,879057295.9266301,892419873.8235573,11823.101579112576,12837.141108143123,10821.767071184875,15.433632377292946,11.87683284457478,
case_study_3,pid,2,35.93506337814215,90.16234030944962,38.23640485452251,20.104964334135087,0.3094618055555556,0.17470945470664392,0.16944444444444443,917355302.4601132,11567.086071524342,0.0012152777777777778,-54.49271868449945,1.0,51.500109928947,170.69387620786028,41.22422429949041,36.639852141328326,41.98074510690234,80.66131093282891,0.0,0.041666666666666664,0.057291666666666664,945849458.581599,808621308.3902211,926997457.243206,10821.388083480551,8865.83268613434,10749.970253350939,1.83513654960703,,
case_study_3,pid,3,34.93474140605037,79.26182543318188,36.229548229081544,13.861158921716308,0.2791666666666667,0.21145833333333333,0.12945601851851848,895216989.9773496,11091.057642218948,0.0,-47.40006699443333,1.0,45.108206178206466,92.14400777573557,35.05968631483447,30.26701765677977,38.188563490150074,54.52133641528757,0.19791666666666666,0.2916666666666667,0.15416666666666667,870777583.8724457,809259713.2755926,895604166.1733003,10063.153042467506,9899.820392065183,11414.543355579774,8.924430034023748,77.89473684210527,
case_study_3,pid,4,64.78286334011769,257.92874138404767,84.03925956954669,27.235838520756083,0.3380208333333333,0.37296189299059684,0.17048611111111106,937282426.4114336,10937.844503240249,0.0008680555555555555,-90.3285976942071,1.0,146.37114950447088,2865.777766453283,39.05035669850022,45.951649885698814,76.81875673369898,86.71194857768656,0.36041666666666666,0.30520833333333336,0.16041666666666668,892854762.6668915,834590833.7678812,973942200.4740964,11055.482836883795,10483.32668529444,10723.583868597867,96.7171704135786,44.50867052023122,
