t_s,active_faults,dropout_agent_id,sensor_bad_agent_id,comm_scale
32.479166666666664,comm_degrade,,,0.35
32.5,comm_degrade,,,0.35
32.520833333333336,comm_degrade,,,0.35
32.541666666666664,comm_degrade,,,0.35
32.5625,comm_degrade,,,0.35
32.583333333333336,comm_degrade,,,0.35
32.604166666666664,comm_degrade,,,0.35
32.625,comm_degrade,,,0.35
32.645833333333336,comm_degrade,,,0.35
32.666666666666664,comm_degrade,,,0.35
32.6875,comm_degrade,,,0.35
32.708333333333336,comm_degrade,,,0.35
32.729166666666664,comm_degrade,,,0.35
32.75,comm_degrade,,,0.35
32.770833333333336,comm_degrade,,,0.35
32.791666666666664,comm_degrade,,,0.35
32.8125,comm_degrade,,,0.35
32.833333333333336,comm_degrade,,,0.35
32.854166666666664,comm_degrade,,,0.35
32.875,comm_degrade,,,0.35
32.895833333333336,comm_degrade,,,0.35
32.916666666666664,comm_degrade,,,0.35
32.9375,comm_degrade,,,0.35
32.958333333333336,comm_degrade,,,0.35
32.979166666666664,comm_degrade,,,0.35
33.0,comm_degrade,,,0.35
33.020833333333336,comm_degrade,,,0.35
33.041666666666664,comm_degrade,,,0.35
33.0625,comm_degrade,,,0.35
33.083333333333336,comm_degrade,,,0.35
33.104166666666664,comm_degrade,,,0.35
33.125,comm_degrade,,,0.35
33.145833333333336,comm_degrade,,,0.35
33.166666666666664,comm_degrade,,,0.35
33.1875,comm_degrade,,,0.35
33.208333333333336,comm_degrade,,,0.35
33.229166666666664,comm_degrade,,,0.35
33.25,comm_degrade,,,0.35
33.270833333333336,comm_degrade,,,0.35
33.291666666666664,comm_degrade,,,0.35
33.3125,comm_degrade,,,0.35
33.333333333333336,comm_degrade,,,0.35
33.354166666666664,comm_degrade,,,0.35
33.375,comm_degrade,,,0.35
33.395833333333336,comm_degrade,,,0.35
33.416666666666664,comm_degrade,,,0.35
33.4375,comm_degrade,,,0.35
33.458333333333336,comm_degrade,,,0.35
33.479166666666664,comm_degrade,,,0.35
33.5,comm_degrade,,,0.35
33.520833333333336,comm_degrade,,,0.35
33.541666666666664,comm_degrade,,,0.35
33.5625,comm_degrade,,,0.35
33.583333333333336,comm_degrade,,,0.35
33.604166666666664,comm_degrade,,,0.35
33.625,comm_degrade,,,0.35
33.645833333333336,comm_degrade,,,0.35
33.666666666666664,comm_degrade,,,0.35
33.6875,comm_degrade,,,0.35
33.708333333333336,comm_degrade,,,0.35
33.729166666666664,comm_degrade,,,0.35
33.75,comm_degrade,,,0.35
33.770833333333336,comm_degrade,,,0.35
33.791666666666664,comm_degrade,,,0.35
33.8125,comm_degrade,,,0.35
33.833333333333336,comm_degrade,,,0.35
33.854166666666664,comm_degrade,,,0.35
33.875,comm_degrade,,,0.35
33.895833333333336,comm_degrade,,,0.35
33.916666666666664,comm_degrade,,,0.35
33.9375,comm_degrade,,,0.35
33.958333333333336,comm_degrade,,,0.35
33.979166666666664,comm_degrade,,,0.35
34.0,comm_degrade,,,0.35
34.020833333333336,comm_degrade,,,0.35
34.041666666666664,comm_degrade,,,0.35
34.0625,comm_degrade,,,0.35
34.083333333333336,comm_degrade,,,0.35
34.104166666666664,comm_degrade,,,0.35
34.125,comm_degrade,,,0.35
34.145833333333336,comm_degrade,,,0.35
34.166666666666664,comm_degrade,,,0.35
34.1875,comm_degrade,,,0.35
34.208333333333336,comm_degrade,,,0.35
34.229166666666664,comm_degrade,,,0.35
34.25,comm_degrade,,,0.35
34.270833333333336,comm_degrade,,,0.35
34.291666666666664,comm_degrade,,,0.35
34.3125,comm_degrade,,,0.35
34.333333333333336,comm_degrade,,,0.35
34.354166666666664,comm_degrade,,,0.35
34.375,comm_degrade,,,0.35
34.395833333333336,comm_degrade,,,0.35
34.416666666666664,comm_degrade,,,0.35
34.4375,comm_degrade,,,0.35
34.458333333333336,comm_degrade,,,0.35
34.479166666666664,comm_degrade,,,0.35
34.5,comm_degrade,,,0.35
34.520833333333336,comm_degrade,,,0.35
34.541666666666664,comm_degrade,,,0.35
34.5625,comm_degrade,,,0.35
34.583333333333336,comm_degrade,,,0.35
34.604166666666664,comm_degrade,,,0.35
34.625,comm_degrade,,,0.35
34.645833333333336,comm_degrade,,,0.35
34.666666666666664,comm_degrade,,,0.35
34.6875,comm_degrade,,,0.35
34.708333333333336,comm_degrade,,,0.35
34.729166666666664,comm_degrade,,,0.35
34.75,comm_degrade,,,0.35
34.770833333333336,comm_degrade,,,0.35
34.791666666666664,comm_degrade,,,0.35
34.8125,comm_degrade,,,0.35
34.833333333333336,comm_degrade,,,0.35
34.854166666666664,comm_degrade,,,0.35
